as_of_date,ts_code,name,industry,market,exchange,theme,sub_theme,source,confidence,evidence,valid_from,valid_to
20250101,300310.SZ,宜通世纪,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300319.SZ,麦捷科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300322.SZ,硕贝德,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300331.SZ,苏大维格,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300353.SZ,东土科技,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300389.SZ,艾比森,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300394.SZ,天孚通信,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备;name:天孚,20250101,
20250101,300397.SZ,天和防务,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300408.SZ,三环集团,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300414.SZ,中光防雷,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300433.SZ,蓝思科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300460.SZ,ST惠伦,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300474.SZ,景嘉微,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
